filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
475.png,4401,"{}",64,0,"{""name"": ""rect"", ""x"": 2, ""y"": 2, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,1,"{""name"": ""rect"", ""x"": 53, ""y"": 2, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,2,"{""name"": ""rect"", ""x"": 67, ""y"": 2, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,3,"{""name"": ""rect"", ""x"": 75, ""y"": 2, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,4,"{""name"": ""rect"", ""x"": 117, ""y"": 2, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,5,"{""name"": ""rect"", ""x"": 8, ""y"": 11, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,6,"{""name"": ""rect"", ""x"": 39, ""y"": 11, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,7,"{""name"": ""rect"", ""x"": 57, ""y"": 11, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,8,"{""name"": ""rect"", ""x"": 122, ""y"": 11, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,9,"{""name"": ""rect"", ""x"": 134, ""y"": 11, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,10,"{""name"": ""rect"", ""x"": 50, ""y"": 20, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,11,"{""name"": ""rect"", ""x"": 117, ""y"": 20, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,12,"{""name"": ""rect"", ""x"": 172, ""y"": 20, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,13,"{""name"": ""rect"", ""x"": 2, ""y"": 29, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,14,"{""name"": ""rect"", ""x"": 20, ""y"": 29, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,15,"{""name"": ""rect"", ""x"": 84, ""y"": 29, ""width"": 5, ""height"": 7}","{""name"": """"}"
